Empresa,Yhaguy,,,,,,,,,
,,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,MARCA,ESTADO,SALDO,COSTO,MAYORISTA,DOLARES,MINORISTA,AUTOCENTRO
VALV4012,LAPIZ DE PAPEL VALVOLINE,RETAIL SHOP,VALVOLINE,A,0,"866,36",1083,0,2000,2000
VALV4016,CUBRE CUBIERTAS VALVOLINE,RETAIL SHOP,VALVOLINE,A,1,49225,61531,0,110000,110000
VALV4022,BLOC DE NOTAS ADHESIVAS VALVOLINE,RETAIL SHOP,VALVOLINE,A,0,"3158,535",0,0,6000,6000
VALV4124,BANDERA VALVOLINE,RETAIL SHOP,VALVOLINE,A,0,"90377,1",112971,0,200000,200000
VALV4134,LINTERNITAS VALVOLINE,RETAIL SHOP,VALVOLINE,A,12,"62078,414",77598,0,126000,126000
VALV4149X,REMERA POLO VALVOLINE AZUL MARINO X.,RETAIL SHOP,VALVOLINE,A,0,"104392,4",0,0,170000,170000
VALV4150,VASO PARA BICICLETA ROJAS VALVOLINE,RETAIL SHOP,VALVOLINE,A,52,"4978,712",0,0,11000,11000
VALV8001,SILLAS PLEGABLES VALVOLINE,RETAIL SHOP,VALVOLINE,A,2,"56925,033",71156,0,142000,142000
VALV8002,TAMBOR DE GOMA VALVOLINE,RETAIL SHOP,VALVOLINE,A,2,"8781,74",10977,0,21000,21000
VALV8004,DESTORNILLADOR DE BOLSILLO VALVOLINE,RETAIL SHOP,VALVOLINE,A,2,"3844,745",4806,0,8000,8000
VALV9021,REMERA VALVOLINE GRIS TALLE XL,RETAIL SHOP,VALVOLINE,A,0,"21068,3",26335,0,88000,88000
VALV9021L,REMERA VALVOLINE GRIS L.,RETAIL SHOP,VALVOLINE,A,5,"28640,95",0,0,88000,88000
VALV9021M,REMERA VALVOLINE GRIS M.,RETAIL SHOP,VALVOLINE,A,3,"28640,95",0,0,88000,88000
VALV9021X,REMERA VALVOLINE GRIS X.,RETAIL SHOP,VALVOLINE,A,11,"28640,95",0,0,88000,88000
VALVEXP110002,CARTUCHERA MULTIUZO VALVOLINE,RETAIL SHOP,VALVOLINE,A,0,"22752,167",0,0,0,0
VAN VA2004,REPARO PUNTA EJE SC124 C/RULEMAN,REPUESTOS,COMPRA LOCAL,A,0,"228900,95",0,0,340909,388636
VAR  RCPT 0413.0,PASTILLA DE FRENO 4X4 CHEVROLET S10,REPUESTOS,VARGA,A,0,"160080,909",220111,"57,924",330167,330167
VAR 301192,VARILLA PEDAL ACELERADOR SC112/113,REPUESTOS,VARGA,A,0,"23062,319",31711,"8,345",47567,47567
VAR LTCA 638 XX,FIBRA FR.CA32 XX,REPUESTOS,VARGA,A,0,"14182,585",19501,"5,132",29252,29871
VAR LTMB 552B,FIBRA 184 X,REPUESTOS,VARGA,A,0,"13859,091",17532,"4,614",26298,26298
VAR LTMB 552B XX,FIBRA 184 XX,REPUESTOS,VARGA,A,0,"14235,057",19573,"5,151",29360,0
VAR LTMB 651BX,FIBRA FR.183 TRW 183 X,REPUESTOS,VARGA,A,0,"8877,273",12206,"3,212",18309,0
VAR LTSC 497C,"FIBRA FR.SV226 TRW SV226 STD C.RECTA 8""",REPUESTOS,VARGA,A,0,"13419,318",18452,"4,856",27678,0
VAR LTSC308C STD,"FIBRA FR.SV229 VAR STD 7""DEL.SC113",REPUESTOS,VARGA,A,0,"20123,75",27670,"7,282",41505,0
