Empresa,Yhaguy,,,,,,,,
,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,GRUPO,MARCA,APLICACION,MODELO,LINEA,PESO,VOLUMEN
MKT 196,REMERA NEGRA BATERIAS - PROMO VERANO,MARKETING,PROMOCION,COMPRA LOCAL,Sin Color,VARIOS,REMERAS,0,0
MKT 362,ZAPATILLA NEGRA BATERIAS - PROMO VERANO,MARKETING,PROMOCION,COMPRA LOCAL,Sin Color,VARIOS,REMERAS,0,0
MKT 294,REMERA WABCO BLANCA DE ALGODON CUELLO REDONDO TALLE G,MARKETING,Sin Grupo,COMPRA LOCAL,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 285,REMERA WABCO VERDE DE ALGODON CUELLO REDONDO TALLE XG,MARKETING,Sin Grupo,COMPRA LOCAL,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 290,REMERA WABCO CELESTE DE ALGODON CUELLO REDONDON TALLE G,MARKETING,Sin Grupo,COMPRA LOCAL,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 350,REMERAS MANITO VALVOLINE GRIS CON IMPRESION PECHO Y ESPALDA,MARKETING,Sin Grupo,COMPRA LOCAL,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 69,SIDRA,MARKETING,Sin Grupo,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
MKT 130,COOL BAR,MARKETING,Sin Grupo,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
MKT 144,EXHIBIDOR VALVOLINE,MARKETING,Sin Grupo,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
MKT 108,ENERGIZANTE DARK DOG,MARKETING,Sin Grupo,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
@CAMPERA AZUL,CAMPERA AZUL VALVOLINE,MARKETING,Sin Grupo,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
MKT 160,EXHIBIDOR VALVOLINE-MAXLIFE,MARKETING,Sin Grupo,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
MKT 87,EXHIBIDOR HELIAR P/ 12 BATERIAS,MARKETING,Sin Grupo,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
MKT 98,EXHIBIDOR GT RADIAL GRANDE NUEVO,MARKETING,Sin Grupo,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
MKT 31,"EXHIBIDOR TOYO DE METAL 1,16x0,90 MTS",MARKETING,Sin Grupo,COMPRA LOCAL,Sin Color,VARIOS,Sin linea,0,0
MKT 246,BOLSAS DE PLASTICOS INSTITUCIONAL,MARKETING,MERCHANDISING,INSTITUCIONAL,Sin Color,VARIOS,BOLSAS DE PLASTICOS,0,0
MKT 266,RELOJ CHAMPION,MARKETING,MERCHANDISING,CHAMPION,Sin Color,VARIOS,RELOJES,0,0
MKT 265,EXHIBIDOR CHAMPION,MARKETING,MERCHANDISING,CHAMPION,Sin Color,VARIOS,EXHIBIDORES BATERIAS,0,0
MKT 198,REMERA NEGRA PEA AMOA T.L,MARKETING,MERCHANDISING,Sin Marca,Sin Color,VARIOS,REMERAS,0,0
MKT 197,REMERA NEGRA PEA AMOA T.M,MARKETING,MERCHANDISING,Sin Marca,Sin Color,VARIOS,REMERAS,0,0
MKT 199,REMERA NEGRA PEA AMOA T.XL,MARKETING,MERCHANDISING,Sin Marca,Sin Color,VARIOS,REMERAS,0,0
MKT 236,TABLA DE BATERIAS,MARKETING,PUBLICIDAD,Sin Marca,Sin Color,VARIOS,BATERIAS,0,0
MKT 324,VASO SORBETE FRUTILLA,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 322,VASO BARBIE CON PAJITA,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 303,GINNI MU�ECA THE MERMAID,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 321,VASO SPORT DE FRUTILLITA Y TOY STORY,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 320,PLASTILINA PLAY DOH EN VASITO CON TAPA,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 291,REMERA WABCO CELESTE DE ALGODON CUELLO REDONDO XG,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 292,REMERA WABCO GRIS DE ALGODON CUELLO REDONDO TALLE G,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 286,REMERA WABCO NEGRA DE ALGODON CUELLO REDONDO TALLE G,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 293,REMERA WABCO GRIS DE ALGODON CUELLO REDONDO TALLE XG,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 288,REMERA WABCO AZUL DE ALGODON CUELLO REDONDO TALLE G,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 289,REMERA WABCO AZUL DE ALGODON CUELLO REDONDO TALLE XG,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 287,REMERA WABCO NEGRA DE ALGODON CUELLO REDONDO TALLE XG,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 284,REMERA WABCO VERDE DE ALGODON CUELLO REDONDO TALLE G,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 295,REMERA WABCO BLANCA DE ALGODON CUELLO REDONDO TALLE XG,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,MERCHANDISING,0,0
MKT 148,KEPIS PLATIN,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 24,RI�ONERA LANSS,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
@KEPI VALVOLINE,KEPI VALVOLINE,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 138,HAMACAS BORDADAS,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
MKT 149,BOLIGRAFOS PLATIN,MARKETING,Sin Grupo,Sin Marca,Sin Color,VARIOS,Sin linea,0,0
