Empresa,Yhaguy,,,,,,
,,,,,,,
RAZONSOCIAL,NRODOCUMENTO,CONCEPTO,EMISION,VENCIMIENTO,IMPORTE,SALDO,IDCUENTA
YHAGUY BATERIAS S.A.,8.309,Compras  CREDITO,19/5/2017,19/5/2017,3584784,3584784,58348
YHAGUY BATERIAS S.A.,8.385,Compras  CREDITO,22/5/2017,22/5/2017,21733080,21733080,58348
YHAGUY BATERIAS S.A.,8.406,Compras  CREDITO,22/5/2017,22/5/2017,55811200,55811200,58348
YHAGUY BATERIAS S.A.,8.407,Compras  CREDITO,22/5/2017,22/5/2017,15801000,15801000,58348
YHAGUY BATERIAS S.A.,8.456,Compras  CREDITO,23/5/2017,23/5/2017,1200000,1200000,58348
YHAGUY BATERIAS S.A.,8.520,Compras  CREDITO,24/5/2017,24/5/2017,5292000,5292000,58348
YHAGUY BATERIAS S.A.,8.602,Compras  CREDITO,26/5/2017,26/5/2017,137904,137904,58348
YHAGUY BATERIAS S.A.,8.616,Compras  CREDITO,27/5/2017,27/5/2017,385600,385600,58348
YHAGUY BATERIAS S.A.,8.639,Compras  CREDITO,29/5/2017,29/5/2017,4131720,4131720,58348
YHAGUY BATERIAS S.A.,8.634,Compras  CREDITO,29/5/2017,29/5/2017,2899696,2899696,58348
YHAGUY BATERIAS S.A.,8.718,Compras  CREDITO,31/5/2017,31/5/2017,1815000,1815000,58348
YHAGUY BATERIAS S.A.,8.744,Compras  CREDITO,31/5/2017,31/5/2017,33343000,33343000,58348
YHAGUY BATERIAS S.A.,8.730,Compras  CREDITO,31/5/2017,31/5/2017,3288630,3288630,58348
YHAGUY BATERIAS S.A.,8.714,Compras  CREDITO,31/5/2017,31/5/2017,14921220,14921220,58348
YHAGUY BATERIAS S.A.,8.762,Compras  CREDITO,1/6/2017,1/6/2017,13010000,13010000,58348
YHAGUY BATERIAS S.A.,8.768,Compras  CREDITO,1/6/2017,1/6/2017,7040000,7040000,58348
YHAGUY BATERIAS S.A.,8.856,Compras  CREDITO,3/6/2017,3/6/2017,3167282,3167282,58348
YHAGUY BATERIAS S.A.,8.930,Compras  CREDITO,6/6/2017,6/6/2017,2860000,2860000,58348
YHAGUY BATERIAS S.A.,8.952,Compras  CREDITO,6/6/2017,6/6/2017,27838896,27838896,58348
YHAGUY BATERIAS S.A.,8.944,Compras  CREDITO,6/6/2017,6/6/2017,4764000,4764000,58348
YHAGUY BATERIAS S.A.,8.989,Compras  CREDITO,7/6/2017,7/6/2017,2432976,2432976,58348
YHAGUY BATERIAS S.A.,9.090,Compras  CREDITO,9/6/2017,9/6/2017,6232000,6232000,58348
YHAGUY BATERIAS S.A.,9.121,Compras  CREDITO,9/6/2017,9/6/2017,943116,943116,58348
YHAGUY BATERIAS S.A.,9.083,Compras  CREDITO,9/6/2017,9/6/2017,2671256,2671256,58348
YHAGUY BATERIAS S.A.,9.216,Compras  CREDITO,14/6/2017,14/6/2017,2253140,2253140,58348
YHAGUY BATERIAS S.A.,9.161,Compras  CREDITO,14/6/2017,14/6/2017,1199854,1199854,58348
YHAGUY BATERIAS S.A.,9.229,Compras  CREDITO,14/6/2017,14/6/2017,776000,776000,58348
YHAGUY BATERIAS S.A.,9.247,Compras  CREDITO,14/6/2017,14/6/2017,1850324,1850324,58348
YHAGUY BATERIAS S.A.,9.285,Compras  CREDITO,15/6/2017,15/6/2017,1121196,1121196,58348
YHAGUY BATERIAS S.A.,9.269,Compras  CREDITO,15/6/2017,15/6/2017,2641880,2641880,58348
YHAGUY BATERIAS S.A.,9.320,Compras  CREDITO,16/6/2017,16/6/2017,6232680,6232680,58348
YHAGUY BATERIAS S.A.,9.323,Compras  CREDITO,16/6/2017,16/6/2017,10378000,10378000,58348
