Empresa,Yhaguy Repuestos,
,,
CODIGO,POSITIVO,NEGATIVO
POR PH E2622/1,0,-1
ROTA 2057347G,1,0
NAK N-665,1,0
SC 1304571,0,-1
MB-4534,0,-1
MEC TIB-3813,1,0
MEC TIB-3820,4,0
MB-4773,0,-5
SC-981,0,-3
SC-3377,5,0
SC-3224,0,-3
SC-634,0,-1
MB-160,0,-1
GRA 2414,0,-1
MB-159,3,0
GRA 731D,0,-1
MB-3794,1,0
MB-3723,0,-1
CIP 530363,0,-1
SC-635,0,-1
GRA 218 D,1,0
GRA 218 E,1,0
SC-653,0,-2
MEC FL-1355,0,-1
SPI 72586-X,0,-1
SPI 04-852-1,3,0
REI S-307,0,-1
REI S-305,0,-3
MEC FL-1363,1,0
SPI 04-410C,0,-1
