ZONA 7 INTERIOR,,Zonas
TOYO,ART-MAR-DEF,Articulo Marca
HELIAR,ART-MAR-DEF,Articulo Marca
RAIDEN,ART-MAR-DEF,Articulo Marca
CHAMPION,ART-MAR-DEF,Articulo Marca
YUECA,ART-MAR-DEF,Articulo Marca
Sin linea,ART-LIN-DEF,Articulo Linea
PESADA,ART-LIN-DEF,Articulo Linea
NAVIERA,ART-LIN-DEF,Articulo Linea
PROMO,ART-LIN-DEF,Articulo Linea
CONSTRUCTORA,ART-LIN-DEF,Articulo Linea
LIVIANA,ART-LIN-DEF,Articulo Linea
AGRICOLA,ART-LIN-DEF,Articulo Linea
OTROS,ART-LIN-DEF,Articulo Linea
PESADA,ART-LIN-DEF,Articulo Linea
Sin Grupo,ART-PAR-DEF,Artículo Parte
MOTOR,ART-PAR-DEF,Artículo Parte
CAJA,ART-PAR-DEF,Artículo Parte
DIFERENCIAL,ART-PAR-DEF,Artículo Parte
ACCESORIOS,ART-PAR-DEF,Artículo Parte
BI,ART-PAR-DEF,Artículo Parte
CA,ART-PAR-DEF,Artículo Parte
CAJA ZF,ART-PAR-DEF,Artículo Parte
NEUMATICOS,ART-FAM-NEU,Articulo Familia
BATERIAS,ART-FAM-BAT,Articulo Familia
LUBRICANTES,ART-FAM-LUB,Articulo Familia
CARDAN,ART-PAR-DEF,Artículo Parte
CATR,ART-PAR-DEF,Artículo Parte
CA¥O,ART-PAR-DEF,Artículo Parte
CHASIS,ART-PAR-DEF,Artículo Parte
CHAyPIN,ART-PAR-DEF,Artículo Parte
CRR,ART-PAR-DEF,Artículo Parte
CUBAUTO,ART-PAR-DEF,Artículo Parte
CUBCAM,ART-PAR-DEF,Artículo Parte
CUBCTA,ART-PAR-DEF,Artículo Parte
CUBLIV,ART-PAR-DEF,Artículo Parte
CYD,ART-PAR-DEF,Artículo Parte
CYE,ART-PAR-DEF,Artículo Parte
DIF,ART-PAR-DEF,Artículo Parte
DIRECCION,ART-PAR-DEF,Artículo Parte
DISPLA,ART-PAR-DEF,Artículo Parte
EJE,ART-PAR-DEF,Artículo Parte
ELE,ART-PAR-DEF,Artículo Parte
EMBRAGUES,ART-PAR-DEF,Artículo Parte
ESC,ART-PAR-DEF,Artículo Parte
FARO,ART-PAR-DEF,Artículo Parte
FERRETERIA,ART-PAR-DEF,Artículo Parte
FIL,ART-PAR-DEF,Artículo Parte
FILT,ART-PAR-DEF,Artículo Parte
FRENOS,ART-PAR-DEF,Artículo Parte
GOMERIA,ART-PAR-DEF,Artículo Parte
H,ART-PAR-DEF,Artículo Parte
INTE,ART-PAR-DEF,Artículo Parte
INYEC,ART-PAR-DEF,Artículo Parte
JUNTAS,ART-PAR-DEF,Artículo Parte
LUBRI,ART-PAR-DEF,Artículo Parte
LYA,ART-PAR-DEF,Artículo Parte
LYO,ART-PAR-DEF,Artículo Parte
MB,ART-PAR-DEF,Artículo Parte
MO,ART-PAR-DEF,Artículo Parte
MOT,ART-PAR-DEF,Artículo Parte
MOTOR,ART-PAR-DEF,Artículo Parte
MYF,ART-PAR-DEF,Artículo Parte
OTROS,ART-PAR-DEF,Artículo Parte
PE,ART-PAR-DEF,Artículo Parte
PULI,ART-PAR-DEF,Artículo Parte
RUEDA,ART-PAR-DEF,Artículo Parte
SE,ART-PAR-DEF,Artículo Parte
SUSPENSION,ART-PAR-DEF,Artículo Parte
SYD,ART-PAR-DEF,Artículo Parte
TAPA,ART-PAR-DEF,Artículo Parte
TC,ART-PAR-DEF,Artículo Parte
TORN,ART-PAR-DEF,Artículo Parte
TUER,ART-PAR-DEF,Artículo Parte
VALV,ART-PAR-DEF,Artículo Parte
VAR,ART-PAR-DEF,Artículo Parte
VYF,ART-PAR-DEF,Artículo Parte
WYNNPROF,ART-PAR-DEF,Artículo Parte
WYNNSCONS,ART-PAR-DEF,Artículo Parte
Z,ART-PAR-DEF,Artículo Parte
Automovil,ART-PAR-DEF,Artículo Parte
Camioneta,ART-PAR-DEF,Artículo Parte
Camiones,ART-PAR-DEF,Artículo Parte
SERVICIOS,ART-PAR-DEF,Artículo Parte
COMBUSTIBLE,ART-PAR-DEF,Artículo Parte
MASA,ART-PAR-DEF,Artículo Parte
VARIOS,ART-PAR-DEF,Artículo Parte
CABINA,ART-PAR-DEF,Artículo Parte
Itapua,BCO-TER-ITAP,Bancos para Cheques de Tercero
Familiar,BCO-TER-FAM,Bancos para Cheques de Tercero
acelerador,AC,Artículo Parte
Egreso de Caja,CAJ-EGRESO-SIN-COMPROBANTE,Reposicion Caja - Tipo de Egreso
UsuarioDepositoHabFacturar,User-Prop,Propiedad de Usuario
UsuarioModoVenta,User-Prop,Propiedad de Usuario
BNF,BCO-TER-BNF,Bancos para Cheques de Tercero
UsuarioDesarrollador,USU-DES,Propiedades de Sistemas
Venta Mostrador,MOD-VTA-MOS,Modos de Venta
Venta Telefónica,MOD-VTA-TEL,Modos de Venta
INFORMCONF,CAT-CLI,Categoria Cliente
Reclamo,NCR-MOT-REC,Motivos de Notas de Créditos
Cheque Tercero Autocobranza,FP-TIP-CH-AUT,Forma de Pago del Recibo
Vision Banco,BCO-TER-VIS,Bancos para Cheques de Tercero
REPUESTOS,ART-FAM-REP,Articulo Familia
FILTROS,ART-FAM-FIL,Articulo Familia
EN FABRICA,IMP-EST-CONF,Estado de Importacion
