Empresa,Yhaguy,,,,,,,,
,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,GRUPO,MARCA,APLICACION,MODELO,LINEA,PESO,VOLUMEN
RAI N-70L,BATERIA RAIDEN 70  AMP LA300-AN170-AL230 mm,BATERIAS,Sin Grupo,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI N-120,BATERIA RAIDEN 120 AMP 12V N-120,BATERIAS,Sin Grupo,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI BT-54,BATERIA RAIDEN 54AMP. 12V BT-54 249X173X180,BATERIAS,Sin Grupo,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI BT-63,"BATERIA RAIDEN 63 AMP. 12V +,- BT-63 276 x 167 x 175",BATERIAS,Sin Grupo,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI BT-70,BATERIA RAIDEN 70 AMP LA276-AN167-AL175mm,BATERIAS,Sin Grupo,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI N-180,BATERIA RAIDEN 180AMP. 12V N-180,BATERIAS,Sin Grupo,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI N-88L,BATERIA RAIDEN 88 AMP -/+ 368 x 173 x 189,BATERIAS,Sin Grupo,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI NS-100,BATERIA RAIDEN 90AMP. 12V NS-100,BATERIAS,Sin Grupo,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI BT-100,BATERIA RAIDEN 100AMP.12V LA36.AN17AL23,BATERIAS,Sin Grupo,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI NS-40Z,BATERIA RAIDEN 35AMP. 12V NS-40Z 194 x 125 x 223,BATERIAS,Sin Grupo,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI BT-54L,BATERIA RAIDEN 54AMP. 12V BT-54L 249X173X180,BATERIAS,Sin Grupo,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI NS-60L,BATERIA RAIDEN 45 AMP  L203-AN173-AL172mm,BATERIAS,Sin Grupo,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI BT-63L,"BATERIA RAIDEN 63AMP. 12V -,+ BT-63L 276 x 167 x 175",BATERIAS,Sin Grupo,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI BT-70L,BATERIA RAIDEN 70 AMP LA276-AN167-AL175mm,BATERIAS,Sin Grupo,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI NS-100L,BATERIA RAIDEN 90AMP. 12V NS-100L,BATERIAS,Sin Grupo,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
RAI NS-40ZL,BATERIA RAIDEN 35AMP. 12V NS-40ZL 194 x 125 x 223,BATERIAS,Sin Grupo,RAIDEN,Sin Color,VARIOS,Sin linea,0,0
