Empresa,Yhaguy,
,,
CODIGOINTERNO,LISTA,
BOR 53169887155,3891100,
BOR 53169887156,5166700,
BOR 769146,2916700,
BOS 0.331.450.001,587600,
BOS 133286,0,
BOS 144123,583400,
BOS 150 S 853,242000,
BOS 2.006.209.436,106700,
BOS 397.118.405,64200,
BOS 504/39,966700,
BOS 7673.955.925,2491700,
BOS 9.190.087.011,178400,
BOS 9.190.087.018,100000,
BOS 9.190.087.032,66700,
BOS 9.190.087.034,75000,
BOS 9.33A081030,140700,
BOS 9.33A081032,155900,
BOS 9.390.453.030,362600,
BOS 9.390.453.032,366000,
BOS 9.390.453.033,471000,
BOS 9.390.453.071,376100,
BOS 9441080020,27500,
BOS DLLA 142S1264,108400,
BOV MT-25,849400,
BOV MT-30,858400,
BRA-1211,0,
BRD 0066,0,
BRD 010,0,
BRD 0435,0,
BRO 112091,396900,
BRO 112092,640000,
BRO 130524,1371700,
BRO 170563,1568600,
BRO 176554,2476200,
BRO 214131,93700,
BRO 216510,131900,
BRO 216910,129500,
BRO 243142,77600,
BRO 251091,141400,
BRO 251510,95900,
BRO 260800,248200,
BRO 270100,211300,
BRO 270200,222300,
BRO 280400,163400,
BRO 281300,137700,
BRO 310200,61200,
BRO 340100,115300,
BRO 350200,113400,
BRO 40561,1004000,
BRO 54501,746200,
BRO 56046,256400,
BRO BCE209,127300,
BRO BCE210,192500,
BRO BCE212,320600,
BRO BO0100,149000,
BRO BO0105,213400,
BRO BO0200,419800,
BRO BO0210,199400,
BRO BO0300,179400,
BRO BO0330,460000,
BRO BO0400,283200,
BRO BO0600,418500,
BRO BO0700,382000,
BRO BO0705,66100,
BRO BO0710,101400,
BRO BO0740,247600,
BRO MCE012,361100,
BTS 1000,17100,
BTS 130925,26000,
BTS 130975,27800,
BTS 8PK-1510,99000,
BTS 8PK-1550,99000,
BUJ 1302857,9300,
BUJ 1391830,2400,
BUJ 2029,0,
BUJ 412314,33500,
BUJ 594 5X,0,
BUJ 957 5X,0,
BUJ 958 5X,0,
BUL 1108053,4900,
BUL 223353,6000,
BZM 133,496500,
